record_id,source_type,is_synthetic,citation,doi,sensor_noise_applied,validation_status,feedstock_name,feedstock_category,carbon_pct,hydrogen_pct,oxygen_pct,nitrogen_pct,sulfur_pct,ash_pct,moisture_ar_pct,volatile_matter_pct,fixed_carbon_pct,particle_size_mm,bulk_density_kg_m3,feedstock_hhv_dry_mj_kg,feedstock_lhv_ar_mj_kg,feed_rate_wet_kg_h,dryer_temp_c,dried_biomass_moisture_pct,reactor_temp_c,heating_rate_c_min,residence_time_min,biochar_yield_dry_pct,bio_oil_yield_dry_pct,syngas_yield_dry_pct,recovered_biochar_kg_h,recovered_bio_oil_kg_h,clean_syngas_kg_h,dryer_exhaust_water_kg_h,mass_balance_closure_pct,syngas_co_vol_pct,syngas_co2_vol_pct,syngas_ch4_vol_pct,syngas_h2_vol_pct,syngas_c2h6_vol_pct,syngas_mw_kg_kmol,syngas_volume_flow_nm3_h,syngas_lhv_vol_mj_nm3,bio_oil_water_pct,bio_oil_hhv_mj_kg,bio_oil_predicted_ph,bio_oil_tan_mg_koh_g,bio_oil_density_kg_m3,bio_oil_kinematic_viscosity_cst,drying_thermal_duty_kw,reactor_thermal_duty_kw,gross_thermal_demand_kw,combustor_heat_recovered_kw,thermal_self_sufficiency_index_pct,is_thermally_self_sufficient,energy_recovery_ratio_pct,net_thermal_efficiency_pct,second_law_exergy_efficiency_pct
SYN_00012,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Wheat Straw,agricultural_residue,46.5,5.9,41.2,0.7,0.1,5.6,26.548523707312402,75.0,19.4,2.0,220.0,18.806,12.22,187.28476971361414,105.0,8.0,732.24,217.2,0.79,17.08,24.17,58.75,23.257,43.096,82.581,37.759,100.0,46.73,14.88,15.62,16.29,4.58,24.19,76.56,16.17,35.29,10.7,2.27,76.4,1142.4,9.0,43.3,98.19,141.49,287.86,203.44,True,64.82,64.15,64.03
SYN_00013,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Rice Husk,agricultural_residue,39.5,5.1,36.5,0.4,0.1,18.4,17.862119073773975,63.5,18.1,2.0,340.0,15.64,11.496,170.0887212276187,105.0,8.0,413.51,20.29,17.29,55.82,29.75,14.43,76.494,51.387,22.507,18.233,100.0,36.94,46.57,8.9,1.75,3.61,33.79,14.8,10.34,31.9,9.44,2.22,98.8,1149.8,12.0,24.75,45.53,70.27,35.58,50.63,False,82.93,75.79,79.57
SYN_00014,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Sugarcane Bagasse,agricultural_residue,48.0,5.8,43.5,0.3,0.05,2.35,14.225105714001852,81.0,16.65,2.0,180.0,19.044,14.902,115.77660363526672,105.0,8.0,374.96,79.85,29.41,53.93,32.75,13.32,52.99,39.61,14.712,7.834,100.0,33.74,52.08,7.49,1.19,3.28,34.98,9.53,9.16,30.46,11.87,2.2,104.6,1153.0,13.5,12.69,28.73,41.42,20.3,49.02,False,97.31,92.23,95.42
SYN_00015,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Miscanthus,energy_crop,48.5,5.7,42.6,0.6,0.1,2.5,22.258476363250704,79.5,18.0,2.0,200.0,19.191,13.409,228.72854857260887,105.0,8.0,476.53,370.19,1.67,29.45,49.7,20.85,50.999,100.182,41.064,35.449,100.0,42.64,35.79,11.59,3.59,4.15,31.28,29.55,12.56,25.1,13.1,2.21,102.6,1164.8,21.3,43.2,69.31,112.51,86.31,76.71,False,85.01,81.36,83.67
SYN_00016,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Almond Shells,nut_shells,51.0,6.0,39.5,0.5,0.05,2.95,18.011645682603074,73.5,23.55,2.0,480.0,20.725,15.479,244.58544717583146,105.0,8.0,738.42,520.12,0.28,15.03,25.94,59.03,29.372,66.743,122.059,26.616,100.0,46.71,14.8,15.63,16.38,4.58,24.15,112.44,16.18,34.09,12.22,2.27,77.5,1145.0,9.9,35.95,145.02,180.97,423.08,233.79,True,65.78,65.29,64.9
SYN_00017,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Pine Sawdust,woody_biomass,51.5,6.3,41.6,0.2,0.05,0.35,18.075972689043176,82.5,17.15,2.0,420.0,21.095,15.714,448.5174452801543,105.0,8.0,711.39,13.94,11.81,13.32,16.71,69.98,47.964,89.935,261.854,49.122,100.0,46.81,15.17,15.58,15.96,4.58,24.33,240.32,16.12,42.12,10.61,2.29,69.2,1127.3,5.0,66.21,252.05,318.26,901.14,283.15,True,65.1,64.68,64.04
SYN_00018,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Beech Wood,woody_biomass,49.5,6.1,43.8,0.2,0.02,0.38,9.12540253820118,84.0,15.62,2.0,460.0,19.93,16.679,97.24604001384931,105.0,8.0,449.58,5.23,11.98,36.3,45.14,18.55,32.111,45.87,18.399,1.19,100.0,40.63,39.81,10.6,2.75,3.97,32.25,12.72,11.75,26.21,13.36,2.21,103.2,1162.3,19.4,5.77,32.33,38.1,34.73,91.17,False,89.31,87.91,90.08
SYN_00019,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Olive Pomace,agricultural_residue,50.2,6.2,39.8,1.4,0.1,2.3,24.649481534973592,76.5,21.2,2.0,550.0,20.655,13.942,355.1701555801643,105.0,8.0,467.72,12.74,6.35,33.88,46.14,19.98,87.972,141.655,59.074,64.276,100.0,41.97,37.18,11.25,3.27,4.09,31.62,42.06,12.28,25.95,13.94,2.21,102.2,1162.9,19.8,75.46,102.07,177.53,120.14,67.67,False,87.96,83.29,85.39
SYN_00020,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Wheat Straw,agricultural_residue,46.5,5.9,41.2,0.7,0.1,5.6,7.038180899546827,75.0,19.4,2.0,220.0,18.806,16.114,284.44200387330454,105.0,7.038180899546827,552.22,5.44,0.5,23.45,44.58,31.97,60.976,132.628,89.494,0.0,100.0,46.92,24.28,14.2,7.94,4.51,28.01,72.06,14.74,24.78,12.84,2.22,98.7,1165.5,21.9,0.0,124.93,124.93,246.95,197.67,True,72.86,72.75,73.54
SYN_00021,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Rice Husk,agricultural_residue,39.5,5.1,36.5,0.4,0.1,18.4,25.695585429550114,63.5,18.1,2.0,340.0,15.64,10.167,327.36275810376,105.0,8.0,547.58,6.11,0.21,34.05,36.5,29.45,80.803,107.444,77.388,62.966,100.0,46.77,24.9,14.08,7.59,4.5,28.21,60.4,14.63,28.93,9.95,2.23,93.6,1156.4,15.4,72.93,114.19,187.12,205.46,109.8,True,77.6,76.91,78.3
SYN_00022,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Sugarcane Bagasse,agricultural_residue,48.0,5.8,43.5,0.3,0.05,2.35,13.033571630769021,81.0,16.65,2.0,180.0,19.044,15.143,186.06368029080173,105.0,8.0,544.61,96.63,6.26,19.47,48.99,31.54,31.356,89.543,55.28,10.18,100.0,46.64,25.42,13.97,7.31,4.49,28.38,43.25,14.54,25.27,12.93,2.22,98.6,1164.4,21.0,18.21,75.18,93.39,146.22,156.58,True,75.9,75.35,76.48
SYN_00023,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Miscanthus,energy_crop,48.5,5.7,42.6,0.6,0.1,2.5,10.479903097485066,79.5,18.0,2.0,200.0,19.191,15.81,388.3236560782761,105.0,8.0,625.97,101.17,8.66,15.39,34.37,50.24,52.045,145.444,182.269,10.467,100.0,47.36,17.99,15.24,12.83,4.57,25.62,158.01,15.73,29.77,12.13,2.24,88.4,1154.5,14.3,28.22,197.57,225.79,578.05,256.01,True,68.14,67.71,67.97
SYN_00024,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Almond Shells,nut_shells,51.0,6.0,39.5,0.5,0.05,2.95,10.67668056108364,73.5,23.55,2.0,480.0,20.725,17.082,261.46186059921365,105.0,8.0,697.19,37.97,0.22,15.69,28.98,55.33,35.742,84.076,130.803,7.607,100.0,46.89,15.47,15.54,15.61,4.58,24.47,121.59,16.08,32.31,12.62,2.26,81.7,1148.9,11.5,19.51,155.14,174.65,454.73,260.37,True,66.31,65.87,65.61
SYN_00025,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Pine Sawdust,woody_biomass,51.5,6.3,41.6,0.2,0.05,0.35,6.314979469153684,82.5,17.15,2.0,420.0,21.095,18.32,139.43827684614809,105.0,6.314979469153684,617.7,32.33,5.38,14.3,39.01,46.68,18.17,57.507,62.948,0.0,100.0,47.41,18.56,15.16,12.28,4.57,25.87,54.92,15.65,24.97,14.48,2.22,95.0,1165.1,21.6,0.0,71.8,71.8,199.87,278.37,True,71.12,70.91,70.99
SYN_00026,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Beech Wood,woody_biomass,49.5,6.1,43.8,0.2,0.02,0.38,16.864041418736505,84.0,15.62,2.0,460.0,19.93,15.051,121.05994362777402,105.0,8.0,451.92,19.31,1.71,34.45,46.92,18.63,34.212,53.595,21.131,11.664,100.0,40.7,39.66,10.64,2.77,3.97,32.22,14.6,11.78,25.76,13.46,2.21,103.8,1163.3,20.2,16.42,36.91,53.33,39.99,74.99,False,89.66,86.37,88.75
SYN_00027,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Olive Pomace,agricultural_residue,50.2,6.2,39.8,1.4,0.1,2.3,10.307025701551932,76.5,21.2,2.0,550.0,20.655,17.061,464.60522832431906,105.0,8.0,393.53,340.74,0.45,50.12,35.63,14.25,204.461,173.942,65.618,11.651,100.0,35.31,49.41,8.18,1.44,3.45,34.41,43.5,9.73,29.26,13.21,2.2,104.4,1155.6,15.0,32.97,128.29,161.26,98.49,61.07,False,94.66,91.43,93.69
SYN_00028,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Wheat Straw,agricultural_residue,46.5,5.9,41.2,0.7,0.1,5.6,21.269064083376385,75.0,19.4,2.0,220.0,18.806,13.273,354.1488801886368,105.0,8.0,698.13,487.85,12.8,17.26,15.68,67.05,48.199,65.306,188.432,51.079,100.0,46.9,15.5,15.54,15.57,4.57,24.49,173.62,16.07,43.39,9.06,2.3,68.4,1124.5,5.0,63.43,184.51,247.94,649.1,261.8,True,61.63,61.11,60.67
SYN_00029,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Rice Husk,agricultural_residue,39.5,5.1,36.5,0.4,0.1,18.4,18.49535831829686,63.5,18.1,2.0,340.0,15.64,11.389,190.77270126229146,105.0,8.0,448.9,17.4,14.85,47.86,35.11,17.04,73.809,65.114,29.268,21.763,100.0,40.26,40.5,10.43,2.62,3.93,32.42,20.2,11.6,29.47,9.86,2.22,99.0,1155.2,14.7,28.95,56.26,85.21,54.51,63.97,False,81.34,75.53,78.79
SYN_00030,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Sugarcane Bagasse,agricultural_residue,48.0,5.8,43.5,0.3,0.05,2.35,18.219953842782793,81.0,16.65,2.0,180.0,19.044,14.094,430.26229135268204,105.0,8.0,687.62,190.01,10.7,14.27,21.56,64.17,49.238,101.766,230.593,47.796,100.0,46.94,15.68,15.52,15.36,4.57,24.57,209.85,16.05,37.29,10.46,2.27,76.1,1138.0,7.6,64.12,229.03,293.15,783.3,267.2,True,64.78,64.31,64.15
SYN_00031,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Miscanthus,energy_crop,48.5,5.7,42.6,0.6,0.1,2.5,11.607583576267135,79.5,18.0,2.0,200.0,19.191,15.58,187.76398370585676,105.0,8.0,615.85,38.54,19.32,16.1,32.39,51.51,26.422,65.213,88.303,7.363,100.0,47.4,18.5,15.17,12.34,4.57,25.84,76.52,15.66,30.63,11.95,2.24,87.7,1152.6,13.3,15.73,92.44,108.18,278.65,257.58,True,68.24,67.71,67.98
SYN_00032,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Almond Shells,nut_shells,51.0,6.0,39.5,0.5,0.05,2.95,9.624494088972819,73.5,23.55,2.0,480.0,20.725,17.312,81.06883768643308,105.0,8.0,543.53,31.3,1.93,21.54,47.78,30.68,15.524,40.013,23.789,1.431,100.0,46.62,25.51,13.95,7.26,4.49,28.41,19.04,14.52,25.55,14.12,2.22,98.3,1163.8,20.5,5.21,33.98,39.18,64.3,164.09,True,75.94,75.24,75.99
SYN_00033,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Pine Sawdust,woody_biomass,51.5,6.3,41.6,0.2,0.05,0.35,21.479269938658053,82.5,17.15,2.0,420.0,21.095,14.96,461.4735002578897,105.0,8.0,368.21,586.66,0.3,54.23,32.67,13.1,193.6,146.105,52.628,67.612,100.0,33.24,52.94,7.27,1.12,3.22,35.17,34.08,8.97,30.5,13.23,2.2,105.2,1152.9,13.5,83.61,102.5,186.11,71.1,38.2,False,101.35,94.91,97.68
SYN_00034,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Beech Wood,woody_biomass,49.5,6.1,43.8,0.2,0.02,0.38,12.887360237135356,84.0,15.62,2.0,460.0,19.93,15.887,407.7476876316374,105.0,8.0,427.52,90.8,0.13,39.24,44.39,16.37,138.901,179.884,65.561,21.661,100.0,38.21,44.29,9.48,2.04,3.74,33.29,44.22,10.82,26.41,13.31,2.2,105.4,1161.9,19.1,39.32,120.62,159.94,111.26,69.56,False,91.87,88.74,91.26
SYN_00035,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Olive Pomace,agricultural_residue,50.2,6.2,39.8,1.4,0.1,2.3,16.520220913922127,76.5,21.2,2.0,550.0,20.655,15.71,452.4561639316866,105.0,8.0,674.9,745.53,4.86,14.68,28.61,56.71,54.701,136.965,220.619,41.902,100.0,47.02,16.04,15.47,14.95,4.57,24.74,199.18,16.0,32.51,12.49,2.25,82.5,1148.5,11.4,59.84,238.97,298.81,741.21,248.05,True,66.93,66.51,66.13
SYN_00036,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Wheat Straw,agricultural_residue,46.5,5.9,41.2,0.7,0.1,5.6,13.259029555964808,75.0,19.4,2.0,220.0,18.806,14.872,451.25034303901305,105.0,8.0,666.14,7.9,37.12,18.73,18.8,62.47,72.008,102.694,248.384,25.795,100.0,47.09,16.36,15.44,14.59,4.57,24.89,224.11,15.96,39.83,9.78,2.28,74.0,1132.4,6.1,45.17,242.18,287.35,831.68,289.44,True,62.6,62.16,61.9
SYN_00037,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Rice Husk,agricultural_residue,39.5,5.1,36.5,0.4,0.1,18.4,16.018851229726327,63.5,18.1,2.0,340.0,15.64,11.809,462.4409504844765,105.0,8.0,446.61,128.05,0.32,46.18,36.87,16.95,177.336,169.365,72.51,40.307,100.0,40.17,40.68,10.38,2.59,3.92,32.46,50.34,11.57,28.79,9.98,2.21,100.1,1156.7,15.6,58.88,140.11,198.99,135.42,68.06,False,80.66,75.91,78.88
SYN_00038,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Sugarcane Bagasse,agricultural_residue,48.0,5.8,43.5,0.3,0.05,2.35,22.511033900066195,81.0,16.65,2.0,180.0,19.044,13.226,63.0198838586653,105.0,8.0,397.45,58.69,0.16,49.49,36.19,14.32,23.588,21.172,7.839,9.94,100.0,35.42,49.22,8.22,1.46,3.46,34.37,5.13,9.77,29.05,12.16,2.2,104.6,1156.1,15.2,12.06,15.09,27.15,11.67,42.96,False,96.66,88.92,92.36
SYN_00039,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Miscanthus,energy_crop,48.5,5.7,42.6,0.6,0.1,2.5,26.54471614583292,79.5,18.0,2.0,200.0,19.191,12.535,340.7284776350309,105.0,8.0,568.13,8.02,1.83,19.34,45.38,35.28,47.539,130.579,93.844,68.682,100.0,47.22,22.62,14.52,8.99,4.54,27.44,76.55,15.02,26.15,12.88,2.22,96.1,1162.5,19.5,78.76,123.51,202.27,267.38,132.19,True,76.83,76.27,77.21
SYN_00040,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Almond Shells,nut_shells,51.0,6.0,39.5,0.5,0.05,2.95,7.873571185669428,73.5,23.55,2.0,480.0,20.725,17.695,368.5693207917978,105.0,7.873571185669428,734.93,11.86,0.15,16.05,25.43,58.52,53.724,109.271,204.972,0.0,100.0,46.72,14.85,15.62,16.32,4.58,24.18,188.48,16.17,34.14,12.21,2.27,77.7,1144.9,9.9,0.0,243.08,243.08,708.84,291.6,True,65.28,65.2,64.72
SYN_00041,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Pine Sawdust,woody_biomass,51.5,6.3,41.6,0.2,0.05,0.35,13.14552646101813,82.5,17.15,2.0,420.0,21.095,16.807,324.3632184326408,105.0,8.0,488.77,72.95,5.15,25.47,51.87,22.66,71.122,164.714,70.223,18.142,100.0,43.7,33.5,12.15,4.18,4.24,30.69,51.6,13.01,24.63,14.56,2.21,102.4,1165.8,22.2,32.1,113.84,145.94,156.19,107.02,True,83.77,83.35,84.59
SYN_00042,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Beech Wood,woody_biomass,49.5,6.1,43.8,0.2,0.02,0.38,7.315337604406938,84.0,15.62,2.0,460.0,19.93,17.06,132.60417276342326,105.0,7.315337604406938,360.5,111.77,34.83,55.21,31.95,12.84,67.189,46.899,17.868,0.0,100.0,32.75,53.77,7.06,1.06,3.17,35.34,11.25,8.79,29.43,12.67,2.2,107.5,1155.3,14.8,0.0,33.82,33.82,23.0,68.0,False,99.42,97.46,100.34
SYN_00043,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Olive Pomace,agricultural_residue,50.2,6.2,39.8,1.4,0.1,2.3,22.91843327577917,76.5,21.2,2.0,550.0,20.655,14.319,257.53673430085587,105.0,8.0,670.89,565.8,3.94,14.72,29.85,55.43,29.01,73.71,113.362,41.761,100.0,47.05,16.13,15.46,14.84,4.57,24.78,102.29,15.99,31.85,12.64,2.25,83.5,1149.9,12.0,50.32,124.71,175.03,380.34,217.29,True,68.2,67.67,67.36
SYN_00044,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Wheat Straw,agricultural_residue,46.5,5.9,41.2,0.7,0.1,5.6,6.98189963401974,75.0,19.4,2.0,220.0,18.806,16.125,217.31782529183744,105.0,6.98189963401974,686.45,80.41,0.12,17.42,28.86,53.71,34.757,71.25,111.473,0.0,100.0,46.94,15.7,15.51,15.34,4.57,24.58,101.7,16.05,30.16,11.74,2.25,84.8,1153.6,13.9,0.0,130.55,130.55,379.55,290.72,True,63.92,63.77,63.65
SYN_00045,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Rice Husk,agricultural_residue,39.5,5.1,36.5,0.4,0.1,18.4,20.162243016612955,63.5,18.1,2.0,340.0,15.64,11.106,76.96687623537406,105.0,8.0,390.78,8.54,5.13,62.6,24.25,13.15,37.906,19.453,9.011,10.175,100.0,34.85,50.19,7.98,1.36,3.4,34.58,5.76,9.57,35.23,8.86,2.22,96.1,1142.5,9.0,12.95,18.6,31.54,12.82,40.64,False,84.63,75.63,79.99
SYN_00046,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Sugarcane Bagasse,agricultural_residue,48.0,5.8,43.5,0.3,0.05,2.35,25.450559196206264,81.0,16.65,2.0,180.0,19.044,12.632,225.17174283290842,105.0,8.0,511.58,35.65,0.17,24.06,50.57,25.37,39.81,95.667,46.306,42.711,100.0,45.13,30.06,12.96,5.28,4.36,29.77,35.07,13.68,24.91,13.01,2.21,100.8,1165.2,21.7,49.62,71.73,121.35,111.58,91.95,False,82.0,80.14,81.92
SYN_00047,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Miscanthus,energy_crop,48.5,5.7,42.6,0.6,0.1,2.5,17.629467489581966,79.5,18.0,2.0,200.0,19.191,14.353,193.85680520388635,105.0,8.0,522.45,31.87,13.95,22.66,48.66,28.68,35.726,88.517,49.764,20.291,100.0,45.84,28.09,13.4,6.05,4.42,29.2,37.97,14.05,25.34,13.05,2.21,99.6,1164.2,20.9,27.76,70.58,98.34,124.08,126.18,True,78.7,78.13,79.39
SYN_00048,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Almond Shells,nut_shells,51.0,6.0,39.5,0.5,0.05,2.95,14.617683375886038,73.5,23.55,2.0,480.0,20.725,16.221,393.5345227309832,105.0,8.0,654.81,26.06,0.88,16.31,32.96,50.73,54.395,134.267,174.68,28.307,100.0,47.15,16.63,15.41,14.29,4.57,25.01,157.79,15.92,30.37,13.05,2.25,86.1,1153.2,13.6,44.66,204.43,249.09,584.2,234.54,True,68.36,67.94,67.83
